SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.194,11452,2022,0,0,0,0,0,0,1,0,0,0,1,0,1,9.345919666218,-1.63989711991881,1,0.529177272263275
0.04,11391,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.34057884889991,-3.2188758248682,0,0.108586518248253
0.171,11170,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.32098689206325,-1.76609172247948,0,0.456131610004585
0.015,10838,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,9.29081375612606,-4.19970507787993,0,0.0389503415934732
0.048,6575,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.79102985704596,-3.03655426807425,0,0.0816189555606711
0.048,7130,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,8.87206651340834,-3.03655426807425,0,0.0997862697127708
0.048,4888,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.49453850085143,-3.03655426807425,0,0.0885852323522838
0.089,6837,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,8.83010431791379,-2.41911890925,0,0.189586021034617
0.089,7143,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.87388813515497,-2.41911890925,0,0.185297787365124
0.089,5034,2017,0,1,0,0,0,0,0,1,0,0,0,0,1,8.52397017569526,-2.41911890925,0,0.15034287851873
0.089,4916,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.50025047068593,-2.41911890925,0,0.164987991663041
0.125,4968,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.51077262361331,-2.07944154167984,0,0.233643345147462
0.125,7167,2018,0,0,1,0,0,0,0,1,1,0,0,0,2,8.87724243599392,-2.07944154167984,1,0.260968963090449
0.125,6568,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.78996465113226,-2.07944154167984,0,0.212365490361908
0.11,5166,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.54985397365579,-2.20727491318972,0,0.189638326072418
0.11,5041,2016,1,0,0,0,0,0,0,0,0,0,2,0,2,8.52535975408263,-2.20727491318972,2,0.207973317959173
0.017,5234,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.56293108309009,-4.07454193492592,0,0.0296113961720534
0.017,5105,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.53797573059877,-4.07454193492592,0,0.0324616229722153
0.017,7229,2018,0,0,1,0,0,0,0,1,0,0,0,0,1,8.8858559930003,-4.07454193492592,0,0.0357444455722235
0.017,6557,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.78828846026362,-4.07454193492592,0,0.0288424079827286
0.017,6799,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82453082152646,-4.07454193492592,0,0.0360485693100786
0.205,5115,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.53993267838573,-1.58474529984373,0,0.392052038412931
0.205,5245,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,8.5650305208304,-1.58474529984373,1,0.357670514080917
0.019,5371,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.58876938990546,-3.9633162998157,0,0.0337776005457569
0.019,6773,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,8.8206993992149,-3.9633162998157,0,0.0401637689828494
0.019,5235,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.56312212330464,-3.9633162998157,0,0.0370064263694715
1.147,6544,2022,0,0,0,0,0,0,1,1,0,0,0,0,1,8.78630387828258,0.137149838147234,0,1.94288037565228
1.147,5246,2016,1,0,0,0,0,0,0,1,0,0,0,0,1,8.56522116042682,0.137149838147234,0,2.23772213855531
1.147,6770,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,8.82025636590632,0.137149838147234,0,2.42374691801747
1.147,7292,2018,0,0,1,0,0,0,0,2,1,0,0,1,4,8.89453313579855,0.137149838147234,1,2.42901819212008
1.147,5383,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.59100111856096,0.137149838147234,0,2.04270480343562
0.131,6636,2019,0,0,0,1,0,0,0,1,0,0,0,0,1,8.80026465131034,-2.03255795578099,0,0.272345871965604
0.131,7596,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,8.93537707193218,-2.03255795578099,0,0.286961814216797
0.131,6487,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,8.77755545321306,-2.03255795578099,0,0.220328549456926
0.131,6092,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,8.71473171401505,-2.03255795578099,0,0.257497372252694
0.131,5916,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,8.68541582383069,-2.03255795578099,0,0.281193043099826
