SPFH_LENGTH_MILES_AMT,SPFH_ADT_AMT,CUS_YEAR,CUS_YEAR_2016,CUS_YEAR_2017,CUS_YEAR_2018,CUS_YEAR_2019,CUS_YEAR_2020,CUS_YEAR_2021,CUS_YEAR_2022,SEVERITY_LEVEL_0,SEVERITY_LEVEL_1,SEVERITY_LEVEL_2,SEVERITY_LEVEL_3,SEVERITY_LEVEL_4,CUS_N_COLL,CUS_LOG_ADT,CUS_LOG_LEN,CUS_N_FSV,predictions
0.299,34000,2022,0,0,0,0,0,0,1,6,0,1,0,0,7,10.4341158035983,-1.20731170559145,1,2.37680462352094
0.299,36500,2016,1,0,0,0,0,0,0,3,0,0,2,0,5,10.5050675395706,-1.20731170559145,2,2.92453477444704
0.299,36500,2017,0,1,0,0,0,0,0,2,0,0,1,0,3,10.5050675395706,-1.20731170559145,1,3.6831632914102
0.299,36500,2018,0,0,1,0,0,0,0,6,0,0,1,0,7,10.5050675395706,-1.20731170559145,1,3.458247512691
0.299,36500,2019,0,0,0,1,0,0,0,2,0,0,0,0,2,10.5050675395706,-1.20731170559145,0,3.08387369720308
0.564,36500,2016,1,0,0,0,0,0,0,5,0,0,1,0,6,10.5050675395706,-0.572701027484078,1,5.51651375514425
0.564,36500,2017,0,1,0,0,0,0,0,5,0,1,0,0,6,10.5050675395706,-0.572701027484078,1,6.94750533898111
0.564,36500,2018,0,0,1,0,0,0,0,4,0,2,0,1,7,10.5050675395706,-0.572701027484078,2,6.52324948882181
0.564,36500,2019,0,0,0,1,0,0,0,4,0,1,0,0,5,10.5050675395706,-0.572701027484078,1,5.81707279338641
0.636,36500,2016,1,0,0,0,0,0,0,1,1,0,0,0,2,10.5050675395706,-0.452556715642015,1,6.2207495536733
0.636,36500,2017,0,1,0,0,0,0,0,3,0,1,0,1,5,10.5050675395706,-0.452556715642015,1,7.83442091417019
0.636,36500,2018,0,0,1,0,0,0,0,5,0,0,1,0,6,10.5050675395706,-0.452556715642015,1,7.35600474271396
0.636,36500,2019,0,0,0,1,0,0,0,2,0,0,0,0,2,10.5050675395706,-0.452556715642015,0,6.55967783084
2.23,34000,2022,0,0,0,0,0,0,1,21,0,1,0,0,22,10.4341158035983,0.802001585472027,1,17.726669934621
2.23,36500,2016,1,0,0,0,0,0,0,12,0,0,2,3,17,10.5050675395706,0.802001585472027,2,21.8117476488859
2.23,36500,2017,0,1,0,0,0,0,0,12,0,0,1,1,14,10.5050675395706,0.802001585472027,1,27.4697462871062
